NU_INSCRICAO,NU_NOTA_MT
59bfa081e020013410d9f60f91813964ba749bb2,429.65223850923996
f5e069ee3bc95998464e8ff5da048b7f999921ed,420.05418068310786
e02240b518016d03a1b5bcc6d0a37b7a527ea93d,598.9122131339179
664f44258212a1f7e4086f2b4845d586c543fa3f,484.7576560093603
265cd7befa74a9f2a198fc57baec9858075f8419,415.63722211144864
6f9ac44919bbd204e0ef15185388fd2d4bc61253,507.6333405636659
78de1ee60b55766cc3eba4089e36c57139b66ebd,461.498231011415
24550edb10f283ef4e953fd6a8fedbfa211bd456,3.7523134733050334
1e61a474acdc043eb39a89c17fab34bd2ea1a940,434.54950519848455
940af68ded6af2875708611051aa7ff3f134d80b,506.37162364120536
e7ec3258f3b280c1ddf452d107fbdc9fb5a6b72e,475.41559261290064
c76ddf6e9f80984e901b12f9462a3cf029bea290,486.8868217127989
7d39df837488ca3fa6e512fd9e20ec7753b4c36d,471.8446139117827
65bba36aa15f0c4ef3562ea56c125d931bc4ed63,86.97524831329494
1045c54b5ea9f6e08454ec57c47e4ce0e33190bd,46.726573694147966
92823d467a2ced9529801e0e8a94802dd88f0c17,460.01897062420045
9d0fbf9bf1bb039de65a6d0e143c9a791c62b941,580.7323372187052
413cbb38b2e2522f8167ffb9daeac1347b281393,488.8415597570646
68985fad004092956a4b4ce94dd53dc76d07eaf7,498.39688281811914
bdca9aeb19521675af15f2c28d86f6bebc45a834,509.9316965221137
b65b19d42b7a4b644fe9f99366dcb37b120862d9,414.5900745119683
eda898aa8ec465cbac70de72ead0c6d688e5f95a,461.86593663595283
5357b6c09be4c7f3829b72f80de846a9228253cb,3.391765851764731
8d5c4481d736f6ce27976e400f4245bf10757608,440.04934795789785
226b53de56347e3f9b52c8e0ab811fb82e96b3fb,0.45357187309663516
089613ac7dca24109f84c72a97c83b2768b1df1c,3.5720396625348805
527773409bf373301dbd835e59a263c035c043b8,3.7523134733050334
45c95a1640ada5c9206fde19c4ccf68929c5ec0c,-0.49991230832655553
c4cea54435c0fd0e171eed4c215479bb3ca86113,457.3101292385739
7d5cd89c6112b9a202a025a24355135bc60848c6,492.5202387456447
b70ab62384aa80545928a311f5b5d3db2f4d87ee,536.7715162388444
c96431dd924f366d2229a7f1455388b8cd85be49,588.2392601424511
1b72da5bb82cc150ecfe71218c02f155d694230b,0.9313574082061251
e429507efe1c2680cc464481850117d17083cd88,1.1116312189762763
dbaa6ee7502cbebb6f058fed5d2f960b19f451ac,424.79543498119847
e724482370ae6126008ade80b564ad8d8a0a7cbd,471.57999545456806
2ef4e2788e2f815f9a885c899f75d5dfeb234a02,579.6994162494689
c8762fee25b022eb5b4918f8f689e4fb6d19f73c,1.2919050297464274
e14241b5119dc1ff2c99b9c0c478aad23d9d9d05,504.82088597048914
7f898f8939ae054359f83ee154bb91bc7dd2c959,561.4702987141982
3c52d067408ec25a676b6fbf5b5c6d63c77cb6bf,460.2137026833271
82e3b12c6366008fabc238f299f117074e78de5d,401.75612441452034
0d838be0e718ceb786cdb10fcc12559e00440240,530.3884723345376
1b092b6c437359bb84f0d0f8d1286a1083d0e0d4,467.29422014750315
5a9d89465845ac2d81366275cbb1a81d627efd36,0.03004575889456973
c83fe640ba466ba904ac1055e53a875289888797,453.4262511221882
8855ae8971b9bd9b02c45a82c6c894a2e76ca542,475.034047501635
a2945f1e7fbadac669590b7d9fafb6c900bca3d0,390.16834928401676
328639a0c753715c30a58bae70c82f2101153eb3,449.2907858047568
ffc5eb6764d7640edfbdaf4648cd54a12c94dea9,0.7511410019751743
643a0eb394b50694c74d5b5fc70b7f7f7c93f9c7,534.9019586466285
f56746cc2900258507d2b32c126f8db090db856f,462.72237721384755
1a4963b5fea8bb25c67750cdafbe84b01efad177,430.39729475754444
b520c940e62f4ed684417e7eacf00d85752060da,467.3067980357509
2e170cf2651ed448991af6fc5df15167733b2d8f,501.0630201624938
6efdd93a0ae289be6bb5a400bfc1deb077d75886,413.78899079155013
72ac2acc787d8cba0934cca3810ac091d792c8db,521.553481477011
92a25eee14554806f081869cc9dac868fd1860fb,454.3374440040551
1f12a9b01eb9ef227a5482f498f3354bd485d9a3,399.9046079526958
acfcaf61fe2a8ec90ea2648c3125b7dc4dd13b74,470.0178595770203
7ec2f787b9f57044bd98c0d4854f521c9f9ec635,547.5785125589271
e8d2d318a1e057e9cac8384f1269a86c4b36e0a7,465.9490883441669
1730807e4916c5f7e8ab21e02ac5657bcea3e732,0.7620043670645007
b45fb481022f31dd47c63c1c3e2ccc3b5915b67d,470.13411608899196
1a46d99716282410d1170f0f35069b34e34415d4,414.7547427500531
0467e022da4ef897f666bc76f31e1bc8976f7e92,509.45194782223007
993aca0d5eac6741117947c82a3647102096255e,469.2234550007058
94c96ade6ade21deb080bba6aad537fc4f195d47,512.9178458660542
36bb672077a46a3e4755cef90437a616d28bdf23,434.06898837882443
e406adf1d4712381dcd4d1c9d78fc9d7f14ff450,380.6081002770934
328ca19128d276eb4fbc309c54ec7f346c803d2f,688.6970511146545
27cdb62f0a2a5467efeb30aafbf246ed2320c532,372.86773892608505
c52cae37c3653620bbec72264c502f45ca2a8671,-3.1195069003822287
f9ef2695eb0986666093945894b8f2fee351bf22,520.8388349995143
2178c497293d0cab01ce74f5105b1a398fb12d8e,-3.5645670914191268
e21faa0c07406dde71ec02f266b19b314ba8b0e2,3.391765851764731
8a021391cdaac100dab56c59284bd50137a74129,538.5929924719579
12ee0df69325d97cb95404958c4acf4112aeab8a,-23.75911808910952
b4ea8e8529711d52ed85b1a1f8ea0180bda442b8,506.9741297596523
66cf0f8b5af2466f9616fd15c0c10344df84982a,0.9314148127453272
720ef6c1d6cb4978762fb0edf4e55fd8303fe35a,484.37498397147596
60edc5708acd60680891ea15379dd07c7a5924ff,0.44270850800731054
b9f786712775e0d1d735398d710b01f404c985a3,420.0952584279988
564958997e204bda06fbe90afc4722805c78a855,556.6020873852813
36f38ea81d1305770cd5153f1e1667fe8a1eb47f,416.1139573599355
527098f4ee3ceb5c393981930d23b8fe154f4db9,-0.3522285928243818
5a42c3f801e77d628649a6c34f3a4e5b80f232f7,487.64919511704767
8296743fdd105ce9183561cf5b359b0a3781465e,441.9704813955485
a3b79e8c739832c77df2ba6bcdb23a7518155a33,-5.664062459077809
6602c7f15a1fdd082265b64976448c6809df792d,461.1182444469518
31ae66f0fe024acae4490915c348e487f2367574,500.6524382322981
81901aa980653106e64863d957387d24e2c00af3,396.4678965763304
28e10d1bd0b6effe0edd503446ebda948ad240ad,434.9858102493815
53a7ee52a87f80241e2ca13c923e06b72bf3a059,415.76360499422515
50be5f75fdaedae454b0c3d63b7277854bd08d8f,53.73267812808652
82bbb4f6c87f03eecd6a3eb7d03a398bb82d155d,-5.303514837537507
0e2c166db6aa7deccbe4896423a1d68f6d57b0f1,587.418278100456
d1e2b5c758988b6d69e90aedab3e02cae47d61c4,1.2072572114452154
02681b5c893b94db204713cb4b20dde6fc3f2f95,540.8629798357556
6ce4c0e0784b3881b36b3d1c047ac6ad121681da,449.79120956230366
829dd51f77f3ae74c2216de2d86139bd0a03367c,-0.09811292430314289
28c6829e69879bc1d34db1cd51b89562d3cc596b,521.318723450603
ecb9f0d7a261c9f27865ea22f2e643701f721eb6,480.5878737270418
96715a069fbcb2e84b26a01563921962ccc4601e,0.44270850800731054
923538833160e8432636c88e8119378a43b3d766,453.08813654472914
aacb834258765a2959ee63c57d2be4923d11a696,446.93099115359274
c32e484025571dd94255a77f21de08ab8d2aaba8,471.44682657131085
d425deeec0a3c7006f14d732eff8933d5155067f,471.2572562504688
f7e7aa93db083d1f25b43cccf4ad2c03a7953cd3,492.0603592948663
716a178e9a6f7791b820da77879943ac9040a547,459.7167505991844
430212cd8767ef2bff8cda0f61729203fef7523e,416.2973773017499
e97d33221238e445688a0e984778d4ecac788be2,523.8037942635806
695c9481580951d830c4431fc6c9dee778ba9ca1,0.18859283948607164
4bc5712bdb9067b1814e969e71d5cdad59bb38d4,502.39914026751273
0411742cbb54fe1b6927b25f0bb52b885828c828,405.8724555875821
780505a9d5fc3c6da53686c0cc8bd871f4db00bc,401.67708408214315
bc40729846bf209b06e2a9a890e01d4e6780f5b4,-2.5786854680717752
e4e7a38b58319ad0a5cde4848622b21783c907e9,497.1134216049953
9c5a0a82074c75cb072752d71da42b9c6c27b0a3,553.7429105269408
aec1b63c3f0c9554e533752d8fe138ca82101d4a,428.9351388742733
4cc0fd1efaa148872a1f9edc1b44efef48c91c2b,498.32018142864024
4b48d500ba4410546ce01f7f6d44bcbafa73994f,415.963055391791
edf33c347c866d26872f540bcc1f6ae415f3294c,471.45749310927374
54f4e6037b9d1eb4a2a134306d37176787f1c1d3,527.7235460523365
3a265ea6ebdc4eb2520db912adf5592f03b3d634,416.14788731965217
99bfcef2dc3695a617f241bfd3b6ead3fd653d41,0.8249828597262621
0ade5488fd62db34c11a369bdbb4327faacc1635,0.3580032851668964
e418fbb77e6ff4103205f3b7f6a66d53183d809b,443.9809984417314
8ddbfe70cd41135cb6f125335a48d100789edbf7,401.89003104890895
fa2f4f80278ac5441ab2f2d8c02a9f920ba6c119,-2.7589592788419264
1d3e406d0223d4cb0328850d689ba9fcadf62776,446.24765876591323
67d9e9d6629fff7ad9cdb0f1e48c76865637aa73,0.3797300153455474
ecaf075653faf2dcdf946c0ce50629f5083347c0,409.7253589284819
7a2bba61a48894f9bd6fc981f77f2b627b0d8ae6,506.4562787635356
d43894c5e83bb3a7e5000636295b0b050de19309,0.6338456838667863
5b7877d12550dd35d27a02b66a13f2a27bce11ca,418.5621503746096
18f800ec03e33ebad5fb97aa8465dd3e5961337e,427.20913293398996
bb39cc6296f2c9da3963994899c5c34b50965720,1.100825258426152
76facda8958cbaf5dba09a4d35d3b4de7596a49d,1.2919050297464274
b05356be088f726b5ba7e0b0a9aa1b5cf4157b2a,464.22891014795414
e887be276bf553575b20ed1a0de8833d9cb7e247,0.9422781778346518
cc8794762ffa592758b5117d67e0d02e2e8b9c49,522.2243723956
894d277c608610fa8c31db531f64582b9569b2e9,421.3195505799136
b2e029961aa0f20071b74708e0d97e6f200ec582,457.77507587942466
12c7d85e168b09a0278df140a22bcb0052a59b0a,399.923159446666
64c4892488a9c6281bdabf467a0b5a6382d248e6,459.4764124702493
944e790f6e64eccf6df361247858165f17dd7abb,0.7402776368858497
ac112e94587e6e4249b7182329ee5a5040ae94ea,533.1611590446408
a58cf11e498228f9aaca92b0c49f955a6163fb59,438.6512769359415
e8c84701c041b7f3b39f3125a0449fa633589fbe,489.9579310751585
af8dd560d9ea4adcfd0d2b6b5f81f95fad9c3222,589.1497968404268
c650c8f7cbe1a7b00f4edbcf43c8b97ce85d0d64,0.09302425155633287
ac9cc7dbe0e70fb6717aa371a23aa75e6594ec02,431.9615246760465
e64ad901853230e396be49311ea98121c348fac6,486.6206158140716
8532af19be3729ea233c1f29e4c015820fc7fb3a,492.37739042887335
6de1d7f2ad49d20e5782f8cacf4f0b677ff2d316,468.2280729645387
26853fd075fe27954772c3070997635b94f32b83,440.1347140046057
3159f29994dadd5cba1f94c3f3b9ac69e24c1cc2,536.5260602647171
574ec310dee846f9ae8eb278480257d463f6fbcc,478.35782225070454
ebb32b8df4ff9b202ba904f310724ce230cb4305,-20.874737116787102
8a46e35787225c3e7adef2b998ad9c93a952106b,533.0401396218489
b62bf908b504e8c6898777a7f5b88afed358caea,398.4177121288123
10d22971ca4f53fc62d02905809ff1c37fbb68fc,592.3793383189916
0efd9ad5eb41ad08e1f1af9fbe59eb5845323860,419.543518502902
cad47b624b484cb16291449cee30707a46c20199,-20.5141894952468
8f2c4684ec70392c718c278b10b04ddfbd4ced1f,522.2430597681863
bb6c0df09cb6663f142ce6da382b804353453af2,0.6338456838667863
c03f2bcf9ef69bcfdf270b6ffc6110408f0ead41,468.62648538442187
7bd0affe1bdd3681a0faecd80a3d48c023b986de,3.5720396625348805
d76614020539405f481c0f5ffb9e6f88a0bf21b7,428.0128499920378
5ce2df96a99343819ead41bf242044177439696d,0.7294142717965251
c7463ccdb0d2ad76b5823bfd016d420e02f4acc0,0.0409091239838979
a9216c3fc0c0bf14cda0ca26a71c205458b74896,0.08216088646700825
92acabe95cd7dd1ae1dd63547cde3a4939cf7e2e,512.6032790814917
ddbf5769bc4a6fb2aa16e5a031d8eb7796d1c04c,474.08263204792127
176b027cd932b17fcb6f119cfcef338a175062b8,406.6687456305642
41474f2dda61d97f38ba79906d3dbcce223d1bd1,516.5435278943288
421eb738f9e2ea73e5f4227c915762d6421102ac,3.7523134733050334
1c5a1514e6a5c44e5683ec01698a83ce474c2e4d,480.79154652725697
f113b266aeb3cb19dca62ae88de7cc55a13efbf1,37.60507726332576
134d96275e3893946c3a0e1d59f86b336fe64f6e,0.9422781778346518
d4e97da32ccb6987ec074aa48c24ce949c05a78c,426.90853551001805
fa556e489987a0588e9a8edb5327e2bde1679670,0.3580032851668964
95c1d266a2524560761df98b376c17604733a6ad,517.8660418309887
c11c4303d2632cde64105a35554ecb77a8564260,477.72690833185095
30ddf113f77266181ef7bf57ea7d4ca3f505fec7,483.3206970815701
6d94e9582cfdb5d239f21b3ba08b619d81c5e8aa,510.265153577339
3671441f51dc0c3d052e87d6b8beba46bb70bfeb,447.9747238821653
580c34923cbde328e0aef1641dd02033fc862c04,480.8810919545666
156e1fb82056b0f6953c443446eb4dcceed7c03b,0.2624346972371594
29d8bf198da9caa59047268faca60207da24d1b7,536.4408506231367
1b3f80a1cd9fff0408e96169fcaf006936b34fed,476.65567348260987
b5932043b62e0c58e16e2cc2c9d5489390e5c895,488.48151143228455
99092cc60948943c59d68d62ed81a75a03059113,469.74602611880675
fbfc631ae23a558d8dd92916cf2e8b5f923b0681,19.48005563870108
dd69fca6f17420dc911016a79e70583ca7ea330d,407.0220782135601
d387995af060965fb9d18973f3dbf4904f071066,399.70035782612
27dbf6c09f5e0f3756ad3e9ea156fbc330601a6a,482.57774788059504
543674772357cf9d8a7a8e7dfb89384af80ec30e,508.63833153348094
80a12b8a4c9df4ef4f78a33d41858b6f1ea24144,434.62254118184256
dc2699d27649dbe52ebbe10001c0bb5ba71310c0,-175.08008825241077
0736d379ea0962e316ce84cce8e883321be36abb,441.72830702675157
98cc842c547c69a0d27776e272fd8b61131b0b37,412.62803824106106
890b7696fa85ca2b3e90b3951efec2135e88d5cf,475.74746134603555
f3c4cd2f095979416fcac08d630fb1b1623ba5d6,632.8436812912416
d84b48f7dc7a6e387e6e985525143589754c5b13,414.2346426585403
71c9f09a9ed64f1cf7ba1bef4a614ad21e00afc9,509.7907700823914
dc4fe9d4124d9278f58f6f999711116a3fe58be7,489.05271618565087
f6624d763619c0898b34dc02adf06f53a1721cd0,404.11923807834853
60b1c12559860e7ad966da4c4db5c78e17278fc0,501.24029025949756
a3f3dcb89101d86171f8bb4f4f57939717cf298a,-1.5294400453750274
4f365503582b97ea96462d0d36895a5e7f5926df,428.05779269608036
c80869804effb21d50cc8fff3f4c27ba5521240c,397.0602321724973
d0f351638d60e84b890a498d69c9a7961cdcdf36,482.27970340077763
48e8ec135997ff3676648d5c144c3c7150a7bbb1,410.5442862351541
45484014aefd10ea3e4b08fb93e66c251709cca6,459.48118323323706
ccd8d735f7b3c980582f9086a6cae8b9ce8dea54,422.0013252455115
b2e2d1aa1a539b402da8b8fe52520fdf9ed7cdd9,415.6288796715136
25c9e3b023d4d32d0f15cb9041ea6b2bfbec6a63,560.816494605204
0fb75ce5f51e8afaf504c75de131eb31f89faf4f,394.29315718607796
26e6e8cec21236dfc21cf98812a3d99a3f87d99b,580.5881348598816
c83c66733c5bd90a59996e473bb69e44f6522976,418.60281201094125
69c67ff1933e4fa099182bbcb24a229d0ad84d5d,3.7523134733050334
4c373daf5547a6292c4905696c148ec83f95f083,0.6229823187774617
4549620b5459bb28990580f4ca0b4c2adc5b1a68,0.7294142717965251
87f89c855f377c5b100ad2986cc6569e31d94a98,518.772152607042
d0d8601aab147c191ae37365a930c1ed3eb0414b,-4.233547206927295
9a25537903e8e7eab1dfb357903d241e24e86fb8,3.211492040994578
eaecf3dd32668664e1dcc2d6c7a69042824806a6,455.46668361731616
d19fa85793fcb8ae3126d10592c9c57d3b32971f,1.4721788405165785
c59b370d3aa06b68878c836bceac844953d74972,489.3053624404667
5a6d397150d1a9e9c82e120f92d1e782da34bddb,1.0161200355857396
b2128312e70fdb830091aecb6b27d82617e2e226,438.9318520714879
8257941af168c0cc15f28bd596fd922352dae732,409.2274481886562
854ce153823802674f35bbe1ec010b12e9b3a56f,431.2796245046618
27f1db4e266b154f6f7fbef9c225fab472652a7b,425.3116687620976
11b90bed4a05d11169f308370faf81d6e9ca2c4f,417.7956659704841
5c55b7aeae6cb75ec715b4629812175239e45c15,3.391765851764731
1391c7de937e0fea2ad23ebb111e513bf2aca2af,20.302966677957706
e9488c35627294cd8f5a809c0667aef7a3f0d465,0.22118293475404904
39c22d725a24b290af887b25175ae0a8d560db4b,3.7523134733050334
e001e1d73163c327a4d800697b1b36cd6921f60d,451.3829023266826
b83424ca8973e4b2eebf6eb9e26e842999432d22,405.48001815229514
202da3f471204ad489ebf0c3856437337534112d,-2.7589592788419264
912d751c54b46c860c5ba61666fc6fc59ca2689d,373.79033943736334
8376d681a277c58f06ab633a06eaa66391126246,-0.6801861190967067
e114f7b197069bde8e158a0dbeaa022dd0c4e280,444.01876147961383
fa84edf183bd459ea9394d77bdc191683a75ff66,563.4320854200894
76190ff09a736ff83169394b770699b2709c5a27,501.65836658499757
515db15df8581ae72bb8e8358833016adee74e02,455.74403909272326
e2a05053c19e6fba60d0e582e6c7f371728a7106,453.4554680627412
66c14322296ac259374ec98c5c3bb2bd67ba25e9,1.1116312189762763
2378556841bc8d5746f2b94d6adefc2db20f9518,536.3760083747883
1e6d55d7b1f72e9b7a8ea53f60f9434f830bc49a,0.9422781778346518
796d558152d241567f8a72b535a5e36fe78886f3,453.6128358830807
1093edca7a04127a6e04570ee9cb58ef1bc0a69a,525.761349078415
3c748fc7a94edb7ac1484373751ffa8574a3281d,416.2823247718212
344a6fc8038e291a6371f94963d7a7f5e1c4d55b,403.4863585087974
92510f53e4c26c81c3bb41aa9b4e967d1697cd12,0.8249828597262621
10a1e8808e744c619376bff659f859cd71e8c41d,444.6474806744598
fc959dafc37dde3f173f083486d84ce5c817443f,451.1724811841027
6979d91c0a1903a336c640e14eed100821a0e24d,454.83216786847476
d4e37c4c1235ce014392f6c8ba0436f195b9e459,541.885168346502
65ce75c2865eb4ae98e31b45fdc15f400d59e8cb,0.5382770959370475
565a955a60c6073157aa869c0351c626a7171ef3,531.2433723493642
5697c01ee87a008056ebc0993a1028b41a26d251,0.2624346972371594
99be797e423b5ae08fe342ea772738f71975df47,599.7521969584875
b579ea83f2d6c15b2c717d16a89827d65f39904b,485.104399010076
e9373b5c22567bec508f2fa2580e4dc3ff687caa,542.3398181951225
a465af361b68bd536dd8bf61d522b9b21755ab60,510.01681631713814
c8feec2a94d996d03534ce935dec7a034667f107,663.0406567929832
af1890b4dbccbf8b6af56051a39bd4b13d1c971b,459.8105134208354
f4f7888cfe88b7a3b0f3d94749921976353ae82c,462.1331125287187
cdf60a765205a4e99eab17c72a68ff9cfd019dc6,467.06001440783433
2e466f15ac7b80870736fac2d0cf4bd7f362e852,459.3968882637772
85fd1d2ab6ab9205e3ca4770dd1f6205e1f3de70,1.2919050297464274
fc83a5c665f70f39b4c7d326118cbf21a898e660,596.4413896205735
c26fbd904781a4f6c37a8f8969778f687c6c1424,-3.6810505406061464
ced4913c2220be57c54bc9f87bb4f441d5976671,472.26832267724916
880ade460a231d722e8bb0e4d17f3c8f77663d37,396.4704341560732
7c869f5b89ddf3130c87011b6508ee59e32682c5,412.08881992386335
9027f65d4e576928ca59690c280050c53d66506a,665.7376415246115
09eb415bcb9842d207139c8bddf32427a134d51e,530.0551835902241
f8224c83e27f4921df62876f7ff660b1dab3d974,467.34051233667947
628b91ee9b4e1e4564424fbfff2ea9f8eddca032,0.44270850800731054
dfec3182aec0997207e0845b072498065ec89aac,608.1292720594398
d653549f6d0ba70e2113b2cc56e9a83e331d2462,546.986168923722
e95674df974af80342f676ca9e3540aecec2b8dc,488.8469947129308
f9333cc1eb8af5bca5469d91e2c5d5f661b118ea,514.9310711093608
2b7b15015ab18dc51893827c7e3f01d931a70410,1.122551988604803
22d86e8b43a9412df86ec15ac231b9919e3ec905,461.5410502883346
1c61035799f6afe7f44c1fb68567d7a8945c3943,568.3563019846408
d5ed4b8732b0d7127a64f7e71137d321c56cc198,424.78862855347415
63edbbe59337f861a710bee4fe8a691d231f23da,433.10433957890876
f62bf9257782d839d38f84376b79611ed0de655d,3.211492040994578
cf14952b5b09ad1a9497769e3a08da2fd74c6102,0.5491404610263739
21b8ef230efbfca6b5f15b36a3243d76ed390967,498.7551059255257
fdfca50f5e6cacd5b30bc546f0fbc271e9a312ff,425.96791411814974
467fdbfc0c6cab31b0d85ec5e373d82fa3790321,-1.2210075514071619
3de3c134579726fe4606b7a05f82ce19f00adb09,630.7346944738515
0f3f9e48790ed9d6ed17ff5e9cb989849b31cc8c,429.75159285280597
bdaf0955746c2cdd3b9ac2538c7502d312fffed8,409.3807087796798
520c60d32fd2af8be76abd332859b36d8ae45900,442.32402170463496
6cb6e2310b52c2898e500f81bea938446592568b,465.2213785353391
0193b535914e1c5a445bede11a408bf1709cd3cb,471.89036255924606
f3669f0c65dbf99cdf8f5f176587e84d5fc7560f,510.1423366678911
c512a461034cd90a9c5f1a32332b748041cfeba3,-1.1797557889240498
6f77bbe0fc418131d06d15f50b30073eae680dbb,0.17772947439674525
9b378e3937af8e97d4753cdf0c8917306354aaaf,491.92830027577617
1c92f54a5fe563622a0e23cf116461a7e147efd8,533.7174084610481
90facc45f7578775e3278aa0bd4fb59dad4d37c1,412.15118827834215
563bd02a1204c85e79026a020ba5af29bce95c12,93.44734679667474
c8062c4cc7e023996bd37b87295f5a2957ddb172,453.0521621762549
ea7cc5987f9cc7f756d501961f64fa5769013823,-5.463066440394192
f654c32a17935317b2e91d8e16aa8dcbf88e2ef2,590.0964437567725
7dd5b0fad5bd47ecbf2e047dee24866a9b5899d6,445.34037623194683
1b61f7e184c7040ae4cea725153965e1f7f75308,444.34096296988344
aea68e00d370c2a0cfd02bf868824dec427bf23a,0.6447090489561109
bdfdc7207977f88b15b3d0559fbf6f05b970c9cb,0.44270850800731054
95a9c65324583892b2d1a0c1c5163488f92d4a6d,394.58918968821104
5b7e7632cf766876026d0da6aa7c6df77bc13438,440.5365074570206
a3be14b06b7aef01331da18e7a1678222b563151,0.3688666502562228
92b8965cf3fb76d11e5061f26e577c23d212b9c5,0.44270850800731054
96fd0462597b8cf21b1e918c1947106cd8359e5d,516.6772727308075
5c1cef937c40bf8c30c119160bedde7ef679454e,584.8694943718793
27dce80bee1eadbcd82bc7d09adb063e116870f6,-1.0407337406370107
271a7e5b703fc3f29f6669415048a760e6355c5b,0.21031956966472265
e39fbeab552a4b6492346d821d095c3a0d691555,432.6556130230329
93694c58636eabfe86550e734efb3775ba4d739f,488.0259766815439
8982636d1f9cc5832eddae4d8a04ee2c6adbaebd,632.0476571341223
6c05e70130682975c1485a862b6e08b895650671,426.24637650296256
8db36ae38c19710d51d3715a6b2a5ecd84f94ff4,402.3348322248736
15043d6ede69cc06a2f2a72afcb05c1cdb5870d6,374.86813018340087
283df09083d3c7bec2590f22355c7ba32ec88623,519.6755077918651
40b96e97dc29dfc990656e30c1038e846b6c8ff2,3.7523134733050334
ff362d0a648559b9146fb97ee248eb423c3d6a50,1.1116312189762763
717ae2ab18e7ba03c4f3af66500ece6580b29b71,-0.0025443363734058977
5ae9771e0cd24b8eb599de2e0fd2e04a26520dd3,577.49566876303
23131f453efc29c2af9553d307692c60a3add1ae,449.6036613529959
da42a6267fe6eb7baa0a4fd2a18aad577e6889b2,442.54245116362716
941646a7d24ee2837d7de90ff0a736bb8f61d68c,413.50155971341303
cd705413010e6e74f3b90ee78dbbd8b767488f0c,-1.2210075514071619
5cd0dfc9a768868f28b11f9cf7870f11cc1ed185,498.1324457153943
cb4393cd17b5bdc120dbc15ddd255aa1f35ba090,425.9194139714465
72882a9cffe151d94be90e02ce3967a91b628099,489.80859157189536
cf62916c9829bd3ad05104151eee856d6de7ca1c,590.6499911746482
6b8f4241357e65c0491cc0ef96396f811574134c,451.50896633536854
298806ed4313157d412e860ac3ea8833d6ca6970,0.6447090489561109
268d48d0247f055ce2ebdd47cd5d1d3ec45246dc,413.51235887305126
4485f973590cff61be5ec78cb3032d5fdf25b809,-1.264461011764464
afd0fa3f3fc672e3c5d6c21173b5ba3b8caa5c8e,456.8693063671907
e2252b8e020cdf19b796baeb7b2c7b000a7bfb87,-0.3196384975564044
8288badec4740382dbf7c33e4095cd4db0021bf7,388.4409377885457
5e139289eb167622f915eea3d1d6e49d15d1c873,529.7069518917807
fc050b2c8fa3446890fe1418332352177dd34506,464.9988123182807
8f309746992f374b4c2ea88f171233a9469ba649,469.2278574612331
ba1d192a71d5ac1a0b9a30bf3c80ef9dc59fefa2,481.8449787880375
